id,tamanio,tipo,maxOcupantes,informacion,resevable,categoria,porcentajeOcupacion,planta,asignadoA
CRE.1200.01.580,20,despacho,0,ASOCIACION,true,despacho,100,1,INGENIERIA DE SISTEMAS
CRE.1200.01.590,306,seminario,289,SALON DE ACTOS ,true,seminario,100,1,EINA
CRE.1200.02.030,75,seminario,81,SEMINARIO A.21,true,aula,100,2,EINA
CRE.1200.02.040,74,seminario,4,SEMINARIO_A22,true,aula,100,2,EINA
CRE.1200.02.050,75,seminario,81,SEMINARIO A.23,true,aula,100,2,EINA
CRE.1200.02.070,74,seminario,40,SEMINARIO_A24,true,aula,100,2,EINA
CRE.1200.02.080,74,seminario,40,SEMINARIO_A25,true,aula,100,2,EINA
CRE.1200.02.120,15,despacho,2,DESPACHO 2.04,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.130,15,despacho,2,DESPACHO 2.03,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.140,15,despacho,2,DESPACHO 2.02,true,despacho,100,2,INFORMATICA
CRE.1200.02.150,15,despacho,2,DESPACHO 2.01,true,despacho,100,2,INGENIERIA DE SISTEMAS
CRE.1200.02.160,50,laboratorio,7, LABORATORIO L 2.1,true,laboratorio,100,2,EINA
CRE.1200.02.170,75,laboratorio,62, LABORATORIO L 2.02,true,laboratorio,100,2,EINA
CRE.1200.02.190,102,laboratorio,56,LABORATORIO INVESTIGACIÓN L 2.03,true,laboratorio,100,2,EINA
CRE.1200.02.200,52,laboratorio,28,LABORATORIO INVESTIGACIÓN L 2.04,true,laboratorio,100,2,EINA
CRE.1200.02.210,52,laboratorio,20,LABORATORIO INVESTIGACIÓN L 2.05,true,laboratorio,90,2,EINA
CRE.1200.02.220,52,laboratorio,15,LABORATORIO INVESTIGACIÓN L 2.06,true,laboratorio,100,2,EINA
CRE.1200.02.230,52,laboratorio,14,LABORATORIO INVESTIGACIÓN L 2.07,true,laboratorio,100,2,EINA
CRE.1200.02.240,52,laboratorio,18,LABORATORIO INVESTIGACIÓN L 2.08,true,laboratorio,90,2,EINA
CRE.1200.02.260,51,laboratorio,14,LABORATORIO INVESTIGACIÓN L 2.09,true,laboratorio,100,2,EINA
CRE.1200.02.270,51,laboratorio,16,LABORATORIO INVESTIGACIÓN L 2.10,true,laboratorio,100,2,EINA
CRE.1200.02.280,51,laboratorio,10,LABORATORIO INVESTIGACIÓN L 2.11,true,laboratorio,100,2,EINA
CRE.1200.02.300,15,despacho,2,DESPACHO 2.23,true,despacho,100,2,INFORMATICA
CRE.1200.02.310,15,despacho,2,DESPACHO 2.22,true,despacho,100,2,INFORMATICA
